Date,Time,Temperature,Humidity,Moisture,Luminance
2023-05-01,10:48:23,21.22,51.24,0.306,78.4225
2023-05-01,10:58:23,21.22,51.17,0.306,72.4775
2023-05-01,10:58:24,21.22,51.17,0.306,72.4775
2023-05-01,11:08:23,21.28,51.1,0.307,85.4128
2023-05-01,11:08:23,21.28,51.1,0.307,85.4128
2023-05-01,11:18:23,21.32,51.16,0.306,100.27
2023-05-01,11:18:23,21.32,51.16,0.306,100.27
2023-05-01,11:28:23,21.4,50.93,0.307,102.12
2023-05-01,11:28:23,21.4,50.93,0.307,102.12
2023-05-01,11:38:02,21.4,51.27,0.308,86.3066
2023-05-01,11:38:02,21.4,51.27,0.308,86.1596
2023-05-01,11:48:02,21.46,51.32,0.306,76.5811
2023-05-01,11:48:03,21.46,51.32,0.306,76.5811
2023-05-01,11:58:23,21.51,51.15,0.307,92.022
2023-05-01,11:58:23,21.51,51.15,0.307,92.022
2023-05-01,12:08:23,21.54,50.69,0.306,64.2449
2023-05-01,12:08:24,21.54,50.69,0.306,64.2449
2023-05-01,12:18:23,21.48,50.12,0.307,46.8694
2023-05-01,12:18:23,21.48,50.12,0.307,46.8694
2023-05-01,12:28:23,21.45,50.2,0.307,51.744
2023-05-01,12:28:23,21.45,50.2,0.307,51.744
2023-05-01,12:38:23,21.45,50.5,0.306,68.3903
2023-05-01,12:38:23,21.45,50.5,0.306,68.3903
2023-05-01,12:48:23,21.43,50.16,0.308,59.8819
2023-05-01,12:48:23,21.43,50.16,0.308,59.8819
2023-05-01,12:58:23,21.44,49.97,0.308,82.6316
2023-05-01,12:58:23,21.44,49.97,0.308,82.6316
2023-05-01,13:08:23,21.44,50.1,0.307,61.9869
2023-05-01,13:08:23,21.44,50.1,0.307,61.9869
2023-05-01,13:18:23,21.44,50.88,0.308,74.5995
2023-05-01,13:18:23,21.44,50.88,0.308,74.5995
2023-05-01,13:28:23,21.53,50.62,0.307,86.0891
2023-05-01,13:28:23,21.53,50.62,0.307,86.0891
2023-05-01,13:38:23,21.55,50.82,0.307,84.0781
2023-05-01,13:38:23,21.55,50.82,0.307,84.0781
2023-05-01,14:10:53,21.47,50.65,0.307,70.0896
2023-05-01,14:10:54,21.47,50.65,0.307,70.0896
2023-05-01,21:40:08,20.36,52.51,0.311,12.1014
2023-05-01,21:40:10,20.36,52.49,0.311,12.1014
2023-05-01,21:50:08,20.46,52.83,0.311,11.4888
2023-05-01,21:50:08,20.46,52.83,0.312,11.4888
2023-05-01,22:00:08,20.52,52.97,0.311,11.1142
2023-05-01,22:10:08,20.65,52.79,0.311,10.9689
2023-05-01,22:10:09,20.65,52.79,0.311,10.9689
2023-05-01,22:20:08,20.7,51.96,0.31,0.5667
2023-05-01,22:20:09,20.7,51.96,0.31,0.5667
2023-05-01,22:30:54,20.74,51.88,0.311,0.5692
2023-05-01,22:30:55,20.74,51.88,0.311,0.5692
2023-05-01,22:40:54,20.77,51.56,0.311,0.1063
2023-05-01,22:40:55,20.77,51.56,0.311,0.1063
2023-05-01,22:50:54,20.8,51.52,0.31,0.186
2023-05-01,22:50:55,20.8,51.52,0.31,0.186
2023-05-01,23:00:54,20.82,51.31,0.31,0.0625
2023-05-01,23:00:55,20.82,51.31,0.31,0.0625
2023-05-01,23:10:54,20.82,51.41,0.31,0.1812
2023-05-01,23:10:55,20.82,51.41,0.31,0.1812
2023-05-01,23:20:54,20.8,51.31,0.31,0.2946
2023-05-01,23:20:55,20.8,51.31,0.31,0.2946
2023-05-01,23:30:54,20.85,51.15,0.309,0.1007
2023-05-01,23:30:55,20.85,51.15,0.309,0.1007
2023-05-01,23:40:54,20.88,50.89,0.31,0.1832
2023-05-01,23:40:55,20.88,50.89,0.31,0.1832
2023-05-01,23:50:54,20.88,50.96,0.31,0.0886
2023-05-01,23:50:55,20.88,50.96,0.31,0.0886
2023-05-02,0:00:54,20.91,50.84,0.31,0.0037
2023-05-02,0:00:55,20.91,50.84,0.31,0.0037
2023-05-02,0:15:06,20.81,50.89,0.31,0.0046
2023-05-02,0:15:06,20.81,50.89,0.31,0.0046
2023-05-02,0:37:07,20.76,51.02,0.31,0.0037
2023-05-02,0:37:07,20.76,51.02,0.31,0.0037
2023-05-02,1:07:12,20.62,51.69,0.31,0.0016
2023-05-02,1:07:13,20.62,51.69,0.31,0.0016
2023-05-02,1:31:37,20.52,51.61,0.31,0
2023-05-02,1:31:37,20.52,51.61,0.31,0
2023-05-02,1:55:11,20.39,51.91,0.31,0.0046
2023-05-02,1:55:11,20.39,51.91,0.31,0.0046
2023-05-02,2:18:52,20.33,51.9,0.311,0
2023-05-02,2:18:53,20.33,51.9,0.311,0
2023-05-02,2:57:18,20.15,52.09,0.311,0
2023-05-02,2:57:18,20.15,52.09,0.311,0
2023-05-02,3:21:32,20.07,52.21,0.311,0.0037
2023-05-02,3:21:33,20.07,52.21,0.311,0.0037
2023-05-02,3:36:47,20.07,52.23,0.311,0.0037
2023-05-02,3:36:47,20.07,52.23,0.311,0.0037
2023-05-02,4:07:23,20.01,52.07,0.311,0.0022
2023-05-02,4:07:23,20.01,52.07,0.311,0.0022
2023-05-02,4:22:20,19.98,52.41,0.311,0.0031
2023-05-02,4:22:20,19.98,52.41,0.311,0.0031
2023-05-02,4:56:10,19.95,52.33,0.311,0
2023-05-02,4:56:11,19.95,52.33,0.311,0
2023-05-02,5:15:36,19.83,52.37,0.31,0.005
2023-05-02,5:15:36,19.83,52.37,0.31,0.005
2023-05-02,5:28:45,19.77,52.66,0.311,0.0131
2023-05-02,5:28:45,19.77,52.66,0.311,0.0131
2023-05-02,5:38:45,19.71,52.86,0.311,0.0513
2023-05-02,5:38:45,19.71,52.86,0.311,0.0513
2023-05-02,5:48:45,19.7,52.9,0.311,0.1691
2023-05-02,5:48:45,19.7,52.9,0.311,0.1691
2023-05-02,5:58:45,19.71,52.94,0.311,0.506
2023-05-02,5:58:45,19.71,52.94,0.311,0.506
2023-05-02,6:08:45,19.71,52.96,0.311,1.0007
2023-05-02,6:08:45,19.71,52.96,0.311,1.0007
2023-05-02,9:14:27,20.21,53.16,0.308,28.4533
2023-05-02,9:14:27,20.21,53.16,0.308,28.4533
2023-05-02,9:24:26,20.33,53.07,0.309,28.5062
2023-05-02,9:24:27,20.33,53.07,0.309,28.5062
2023-05-02,9:44:27,19.58,54.74,0.309,26.3749
2023-05-02,9:44:27,19.58,54.74,0.309,26.3749
2023-05-02,9:54:27,19.43,55.8,0.308,26.7896
2023-05-02,9:54:28,19.43,55.8,0.308,26.7896
2023-05-02,10:04:38,19.21,56.35,0.308,28.7386
2023-05-02,10:04:38,19.21,56.35,0.308,28.7386
2023-05-02,10:14:38,19.17,57,0.308,38.3476
2023-05-02,10:14:38,19.17,57,0.308,38.3476
2023-05-02,10:24:38,19.18,56.56,0.307,39.2715
2023-05-02,10:24:38,19.18,56.56,0.307,39.2715
2023-05-02,10:34:38,19.18,57.27,0.307,50.4193
2023-05-02,10:34:38,19.18,57.27,0.307,50.4193
2023-05-02,10:44:37,19.29,57.81,0.307,55.8718
2023-05-02,10:44:38,19.29,57.81,0.307,55.8718
2023-05-02,10:54:37,19.42,57.95,0.307,66.7068
2023-05-02,10:54:38,19.42,57.95,0.307,66.7068
2023-05-02,11:04:37,19.45,56.89,0.307,135.38
2023-05-02,11:04:38,19.45,56.89,0.307,135.38
2023-05-02,11:14:37,19.44,56.94,0.307,217.64
2023-05-02,11:14:38,19.44,56.94,0.307,217.64
2023-05-02,11:24:37,19.5,56.53,0.307,113.87
2023-05-02,11:24:38,19.5,56.53,0.307,113.87
2023-05-02,11:44:37,19.6,56.83,0.306,111.68
2023-05-02,11:44:38,19.6,56.83,0.306,111.68
2023-05-02,11:54:37,19.66,57.09,0.307,99.8776
2023-05-02,11:54:38,19.66,57.09,0.307,99.8776
2023-05-02,12:04:37,19.65,56.21,0.307,79.9797
2023-05-02,12:04:38,19.65,56.21,0.307,79.9797
